group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
No DECLARE in TRAN,,,,,1002250.0,ns,128
No DECLARE in TRAN,,,,,1988208.0,ns,256
No DECLARE in TRAN,,,,,2998916.0,ns,384
No DECLARE in TRAN,,,,,3968041.0,ns,512
No DECLARE in TRAN,,,,,4948708.0,ns,640
No DECLARE in TRAN,,,,,5955625.0,ns,768
No DECLARE in TRAN,,,,,6949875.0,ns,896
No DECLARE in TRAN,,,,,7978250.0,ns,1024
No DECLARE in TRAN,,,,,8988625.0,ns,1152
No DECLARE in TRAN,,,,,10078583.0,ns,1280
No DECLARE in TRAN,,,,,10903250.0,ns,1408
No DECLARE in TRAN,,,,,11862416.0,ns,1536
No DECLARE in TRAN,,,,,12865291.0,ns,1664
No DECLARE in TRAN,,,,,13939958.0,ns,1792
No DECLARE in TRAN,,,,,14987625.0,ns,1920
No DECLARE in TRAN,,,,,15927541.0,ns,2048
No DECLARE in TRAN,,,,,16842041.0,ns,2176
No DECLARE in TRAN,,,,,17935250.0,ns,2304
No DECLARE in TRAN,,,,,18862166.0,ns,2432
No DECLARE in TRAN,,,,,19871875.0,ns,2560
No DECLARE in TRAN,,,,,20828625.0,ns,2688
No DECLARE in TRAN,,,,,21834458.0,ns,2816
No DECLARE in TRAN,,,,,22824458.0,ns,2944
No DECLARE in TRAN,,,,,23825458.0,ns,3072
No DECLARE in TRAN,,,,,24949125.0,ns,3200
No DECLARE in TRAN,,,,,25761500.0,ns,3328
No DECLARE in TRAN,,,,,26772875.0,ns,3456
No DECLARE in TRAN,,,,,27771250.0,ns,3584
No DECLARE in TRAN,,,,,28755958.0,ns,3712
No DECLARE in TRAN,,,,,29772291.0,ns,3840
No DECLARE in TRAN,,,,,30748166.0,ns,3968
No DECLARE in TRAN,,,,,31810666.0,ns,4096
No DECLARE in TRAN,,,,,32745375.0,ns,4224
No DECLARE in TRAN,,,,,33730291.0,ns,4352
No DECLARE in TRAN,,,,,34728125.0,ns,4480
No DECLARE in TRAN,,,,,36540500.0,ns,4608
No DECLARE in TRAN,,,,,36911791.0,ns,4736
No DECLARE in TRAN,,,,,37846708.0,ns,4864
No DECLARE in TRAN,,,,,38660000.0,ns,4992
No DECLARE in TRAN,,,,,39451291.0,ns,5120
No DECLARE in TRAN,,,,,40348541.0,ns,5248
No DECLARE in TRAN,,,,,41477291.0,ns,5376
No DECLARE in TRAN,,,,,42600625.0,ns,5504
No DECLARE in TRAN,,,,,43425458.0,ns,5632
No DECLARE in TRAN,,,,,44553833.0,ns,5760
No DECLARE in TRAN,,,,,45550000.0,ns,5888
No DECLARE in TRAN,,,,,46523458.0,ns,6016
No DECLARE in TRAN,,,,,47540791.0,ns,6144
No DECLARE in TRAN,,,,,48513625.0,ns,6272
No DECLARE in TRAN,,,,,49556541.0,ns,6400
No DECLARE in TRAN,,,,,50847750.0,ns,6528
No DECLARE in TRAN,,,,,51617875.0,ns,6656
No DECLARE in TRAN,,,,,52479541.0,ns,6784
No DECLARE in TRAN,,,,,53604666.0,ns,6912
No DECLARE in TRAN,,,,,54451666.0,ns,7040
No DECLARE in TRAN,,,,,55413875.0,ns,7168
No DECLARE in TRAN,,,,,56370833.0,ns,7296
No DECLARE in TRAN,,,,,57763416.0,ns,7424
No DECLARE in TRAN,,,,,58614458.0,ns,7552
No DECLARE in TRAN,,,,,59407250.0,ns,7680
No DECLARE in TRAN,,,,,60374000.0,ns,7808
No DECLARE in TRAN,,,,,61363208.0,ns,7936
No DECLARE in TRAN,,,,,62298583.0,ns,8064
No DECLARE in TRAN,,,,,63281541.0,ns,8192
No DECLARE in TRAN,,,,,64157833.0,ns,8320
No DECLARE in TRAN,,,,,65532666.0,ns,8448
No DECLARE in TRAN,,,,,66578833.0,ns,8576
No DECLARE in TRAN,,,,,67639375.0,ns,8704
No DECLARE in TRAN,,,,,68615208.0,ns,8832
No DECLARE in TRAN,,,,,69442500.0,ns,8960
No DECLARE in TRAN,,,,,70174291.0,ns,9088
No DECLARE in TRAN,,,,,71422083.0,ns,9216
No DECLARE in TRAN,,,,,74146833.0,ns,9344
No DECLARE in TRAN,,,,,73450250.0,ns,9472
No DECLARE in TRAN,,,,,74222708.0,ns,9600
No DECLARE in TRAN,,,,,75179250.0,ns,9728
No DECLARE in TRAN,,,,,76361375.0,ns,9856
No DECLARE in TRAN,,,,,77386916.0,ns,9984
No DECLARE in TRAN,,,,,78221708.0,ns,10112
No DECLARE in TRAN,,,,,79123708.0,ns,10240
No DECLARE in TRAN,,,,,80106583.0,ns,10368
No DECLARE in TRAN,,,,,81300916.0,ns,10496
No DECLARE in TRAN,,,,,82197416.0,ns,10624
No DECLARE in TRAN,,,,,83454333.0,ns,10752
No DECLARE in TRAN,,,,,84219458.0,ns,10880
No DECLARE in TRAN,,,,,85873958.0,ns,11008
No DECLARE in TRAN,,,,,86179000.0,ns,11136
No DECLARE in TRAN,,,,,87121750.0,ns,11264
No DECLARE in TRAN,,,,,87984500.0,ns,11392
No DECLARE in TRAN,,,,,88862291.0,ns,11520
No DECLARE in TRAN,,,,,89707666.0,ns,11648
No DECLARE in TRAN,,,,,91127041.0,ns,11776
No DECLARE in TRAN,,,,,92269250.0,ns,11904
No DECLARE in TRAN,,,,,93042708.0,ns,12032
No DECLARE in TRAN,,,,,93795916.0,ns,12160
No DECLARE in TRAN,,,,,94654291.0,ns,12288
No DECLARE in TRAN,,,,,97115708.0,ns,12416
No DECLARE in TRAN,,,,,97242291.0,ns,12544
No DECLARE in TRAN,,,,,97904291.0,ns,12672
No DECLARE in TRAN,,,,,99101125.0,ns,12800
