group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
No DECLARE in TRAN,,,,,1003208.0,ns,133
No DECLARE in TRAN,,,,,1986750.0,ns,266
No DECLARE in TRAN,,,,,2991916.0,ns,399
No DECLARE in TRAN,,,,,3977500.0,ns,532
No DECLARE in TRAN,,,,,4960458.0,ns,665
No DECLARE in TRAN,,,,,5958750.0,ns,798
No DECLARE in TRAN,,,,,6932875.0,ns,931
No DECLARE in TRAN,,,,,7916291.0,ns,1064
No DECLARE in TRAN,,,,,8941500.0,ns,1197
No DECLARE in TRAN,,,,,9935083.0,ns,1330
No DECLARE in TRAN,,,,,10938166.0,ns,1463
No DECLARE in TRAN,,,,,11931166.0,ns,1596
No DECLARE in TRAN,,,,,12951833.0,ns,1729
No DECLARE in TRAN,,,,,13909333.0,ns,1862
No DECLARE in TRAN,,,,,14920625.0,ns,1995
No DECLARE in TRAN,,,,,15920375.0,ns,2128
No DECLARE in TRAN,,,,,16945541.0,ns,2261
No DECLARE in TRAN,,,,,17864666.0,ns,2394
No DECLARE in TRAN,,,,,18983875.0,ns,2527
No DECLARE in TRAN,,,,,19806250.0,ns,2660
No DECLARE in TRAN,,,,,20782958.0,ns,2793
No DECLARE in TRAN,,,,,21694791.0,ns,2926
No DECLARE in TRAN,,,,,22924541.0,ns,3059
No DECLARE in TRAN,,,,,23873666.0,ns,3192
No DECLARE in TRAN,,,,,24780833.0,ns,3325
No DECLARE in TRAN,,,,,25758708.0,ns,3458
No DECLARE in TRAN,,,,,26833625.0,ns,3591
No DECLARE in TRAN,,,,,27818291.0,ns,3724
No DECLARE in TRAN,,,,,28745916.0,ns,3857
No DECLARE in TRAN,,,,,29715208.0,ns,3990
No DECLARE in TRAN,,,,,30843666.0,ns,4123
No DECLARE in TRAN,,,,,32605958.0,ns,4256
No DECLARE in TRAN,,,,,32877916.0,ns,4389
No DECLARE in TRAN,,,,,33878208.0,ns,4522
No DECLARE in TRAN,,,,,34813125.0,ns,4655
No DECLARE in TRAN,,,,,35802000.0,ns,4788
No DECLARE in TRAN,,,,,36886125.0,ns,4921
No DECLARE in TRAN,,,,,37891541.0,ns,5054
No DECLARE in TRAN,,,,,38906750.0,ns,5187
No DECLARE in TRAN,,,,,39775375.0,ns,5320
No DECLARE in TRAN,,,,,40699750.0,ns,5453
No DECLARE in TRAN,,,,,41860000.0,ns,5586
No DECLARE in TRAN,,,,,43106666.0,ns,5719
No DECLARE in TRAN,,,,,43746500.0,ns,5852
No DECLARE in TRAN,,,,,44870833.0,ns,5985
No DECLARE in TRAN,,,,,45867041.0,ns,6118
No DECLARE in TRAN,,,,,46719375.0,ns,6251
No DECLARE in TRAN,,,,,47404833.0,ns,6384
No DECLARE in TRAN,,,,,48699875.0,ns,6517
No DECLARE in TRAN,,,,,49565125.0,ns,6650
No DECLARE in TRAN,,,,,50508625.0,ns,6783
No DECLARE in TRAN,,,,,51575041.0,ns,6916
No DECLARE in TRAN,,,,,52651208.0,ns,7049
No DECLARE in TRAN,,,,,53816208.0,ns,7182
No DECLARE in TRAN,,,,,54811125.0,ns,7315
No DECLARE in TRAN,,,,,55554666.0,ns,7448
No DECLARE in TRAN,,,,,56570125.0,ns,7581
No DECLARE in TRAN,,,,,57440041.0,ns,7714
No DECLARE in TRAN,,,,,58607125.0,ns,7847
No DECLARE in TRAN,,,,,59525208.0,ns,7980
No DECLARE in TRAN,,,,,60339666.0,ns,8113
No DECLARE in TRAN,,,,,61575666.0,ns,8246
No DECLARE in TRAN,,,,,62533125.0,ns,8379
No DECLARE in TRAN,,,,,63489583.0,ns,8512
No DECLARE in TRAN,,,,,64431250.0,ns,8645
No DECLARE in TRAN,,,,,65698208.0,ns,8778
No DECLARE in TRAN,,,,,66323791.0,ns,8911
No DECLARE in TRAN,,,,,67235083.0,ns,9044
No DECLARE in TRAN,,,,,68111458.0,ns,9177
No DECLARE in TRAN,,,,,69393708.0,ns,9310
No DECLARE in TRAN,,,,,70645833.0,ns,9443
No DECLARE in TRAN,,,,,71484875.0,ns,9576
No DECLARE in TRAN,,,,,72499416.0,ns,9709
No DECLARE in TRAN,,,,,73538625.0,ns,9842
No DECLARE in TRAN,,,,,74732083.0,ns,9975
No DECLARE in TRAN,,,,,75578708.0,ns,10108
No DECLARE in TRAN,,,,,76950500.0,ns,10241
No DECLARE in TRAN,,,,,77673916.0,ns,10374
No DECLARE in TRAN,,,,,78204166.0,ns,10507
No DECLARE in TRAN,,,,,79542125.0,ns,10640
No DECLARE in TRAN,,,,,80339833.0,ns,10773
No DECLARE in TRAN,,,,,81190750.0,ns,10906
No DECLARE in TRAN,,,,,82401041.0,ns,11039
No DECLARE in TRAN,,,,,83298708.0,ns,11172
No DECLARE in TRAN,,,,,84346833.0,ns,11305
No DECLARE in TRAN,,,,,85751166.0,ns,11438
No DECLARE in TRAN,,,,,86446250.0,ns,11571
No DECLARE in TRAN,,,,,87606000.0,ns,11704
No DECLARE in TRAN,,,,,88529541.0,ns,11837
No DECLARE in TRAN,,,,,89347791.0,ns,11970
No DECLARE in TRAN,,,,,90244750.0,ns,12103
No DECLARE in TRAN,,,,,91479958.0,ns,12236
No DECLARE in TRAN,,,,,92433291.0,ns,12369
No DECLARE in TRAN,,,,,93365666.0,ns,12502
No DECLARE in TRAN,,,,,94041458.0,ns,12635
No DECLARE in TRAN,,,,,94875958.0,ns,12768
No DECLARE in TRAN,,,,,96272416.0,ns,12901
No DECLARE in TRAN,,,,,97415833.0,ns,13034
No DECLARE in TRAN,,,,,98243916.0,ns,13167
No DECLARE in TRAN,,,,,99298166.0,ns,13300
