group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
No SELECT *,,,,,898202.0,ns,32
No SELECT *,,,,,1702333.0,ns,64
No SELECT *,,,,,2989032.0,ns,96
No SELECT *,,,,,3527741.0,ns,128
No SELECT *,,,,,4641070.0,ns,160
No SELECT *,,,,,5228913.0,ns,192
No SELECT *,,,,,6388131.0,ns,224
No SELECT *,,,,,7721805.0,ns,256
No SELECT *,,,,,9853667.0,ns,288
No SELECT *,,,,,8716313.0,ns,320
No SELECT *,,,,,10153915.0,ns,352
No SELECT *,,,,,10717163.0,ns,384
No SELECT *,,,,,10704698.0,ns,416
No SELECT *,,,,,14238339.0,ns,448
No SELECT *,,,,,12433495.0,ns,480
No SELECT *,,,,,15253885.0,ns,512
No SELECT *,,,,,15257716.0,ns,544
No SELECT *,,,,,18564625.0,ns,576
No SELECT *,,,,,20752466.0,ns,608
No SELECT *,,,,,21391072.0,ns,640
No SELECT *,,,,,22010673.0,ns,672
No SELECT *,,,,,21038347.0,ns,704
No SELECT *,,,,,25415422.0,ns,736
No SELECT *,,,,,27473103.0,ns,768
No SELECT *,,,,,25151416.0,ns,800
No SELECT *,,,,,27511036.0,ns,832
No SELECT *,,,,,28021007.0,ns,864
No SELECT *,,,,,29930608.0,ns,896
No SELECT *,,,,,31730007.0,ns,928
No SELECT *,,,,,30974625.0,ns,960
No SELECT *,,,,,33702952.0,ns,992
No SELECT *,,,,,31800529.0,ns,1024
No SELECT *,,,,,36083321.0,ns,1056
No SELECT *,,,,,34555689.0,ns,1088
No SELECT *,,,,,36522650.0,ns,1120
No SELECT *,,,,,34970616.0,ns,1152
No SELECT *,,,,,35238977.0,ns,1184
No SELECT *,,,,,41297897.0,ns,1216
No SELECT *,,,,,40596120.0,ns,1248
No SELECT *,,,,,37386803.0,ns,1280
No SELECT *,,,,,38626008.0,ns,1312
No SELECT *,,,,,37380921.0,ns,1344
No SELECT *,,,,,39944290.0,ns,1376
No SELECT *,,,,,46336742.0,ns,1408
No SELECT *,,,,,40689683.0,ns,1440
No SELECT *,,,,,44013155.0,ns,1472
No SELECT *,,,,,45528568.0,ns,1504
No SELECT *,,,,,43928118.0,ns,1536
No SELECT *,,,,,45192077.0,ns,1568
No SELECT *,,,,,46386013.0,ns,1600
No SELECT *,,,,,47611166.0,ns,1632
No SELECT *,,,,,46123151.0,ns,1664
No SELECT *,,,,,48006843.0,ns,1696
No SELECT *,,,,,50450510.0,ns,1728
No SELECT *,,,,,55820095.0,ns,1760
No SELECT *,,,,,59580847.0,ns,1792
No SELECT *,,,,,72977790.0,ns,1824
No SELECT *,,,,,66017944.0,ns,1856
No SELECT *,,,,,61610137.0,ns,1888
No SELECT *,,,,,63833860.0,ns,1920
No SELECT *,,,,,65902813.0,ns,1952
No SELECT *,,,,,75254891.0,ns,1984
No SELECT *,,,,,92270601.0,ns,2016
No SELECT *,,,,,60981195.0,ns,2048
No SELECT *,,,,,78750126.0,ns,2080
No SELECT *,,,,,87678326.0,ns,2112
No SELECT *,,,,,92070998.0,ns,2144
No SELECT *,,,,,93139108.0,ns,2176
No SELECT *,,,,,89658967.0,ns,2208
No SELECT *,,,,,96474326.0,ns,2240
No SELECT *,,,,,68014011.0,ns,2272
No SELECT *,,,,,82450615.0,ns,2304
No SELECT *,,,,,86080997.0,ns,2336
No SELECT *,,,,,76854137.0,ns,2368
No SELECT *,,,,,73668148.0,ns,2400
No SELECT *,,,,,77238279.0,ns,2432
No SELECT *,,,,,72853882.0,ns,2464
No SELECT *,,,,,80353371.0,ns,2496
No SELECT *,,,,,74115174.0,ns,2528
No SELECT *,,,,,107730659.0,ns,2560
No SELECT *,,,,,109956381.0,ns,2592
No SELECT *,,,,,121596561.0,ns,2624
No SELECT *,,,,,112403285.0,ns,2656
No SELECT *,,,,,122614524.0,ns,2688
No SELECT *,,,,,128386047.0,ns,2720
No SELECT *,,,,,119499002.0,ns,2752
No SELECT *,,,,,134591817.0,ns,2784
No SELECT *,,,,,132414691.0,ns,2816
No SELECT *,,,,,146752831.0,ns,2848
No SELECT *,,,,,163864614.0,ns,2880
No SELECT *,,,,,101518264.0,ns,2912
No SELECT *,,,,,86394600.0,ns,2944
No SELECT *,,,,,88048426.0,ns,2976
No SELECT *,,,,,84355716.0,ns,3008
No SELECT *,,,,,91749378.0,ns,3040
No SELECT *,,,,,88696799.0,ns,3072
No SELECT *,,,,,92936671.0,ns,3104
No SELECT *,,,,,95382600.0,ns,3136
No SELECT *,,,,,102921316.0,ns,3168
No SELECT *,,,,,126329752.0,ns,3200
