group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
No SELECT in TRAN,,,,,1013666.0,ns,128
No SELECT in TRAN,,,,,1975875.0,ns,256
No SELECT in TRAN,,,,,2954166.0,ns,384
No SELECT in TRAN,,,,,3965958.0,ns,512
No SELECT in TRAN,,,,,4963458.0,ns,640
No SELECT in TRAN,,,,,5963375.0,ns,768
No SELECT in TRAN,,,,,6949500.0,ns,896
No SELECT in TRAN,,,,,7967000.0,ns,1024
No SELECT in TRAN,,,,,9181166.0,ns,1152
No SELECT in TRAN,,,,,10833208.0,ns,1280
No SELECT in TRAN,,,,,11118833.0,ns,1408
No SELECT in TRAN,,,,,11945458.0,ns,1536
No SELECT in TRAN,,,,,12954083.0,ns,1664
No SELECT in TRAN,,,,,13922625.0,ns,1792
No SELECT in TRAN,,,,,14893875.0,ns,1920
No SELECT in TRAN,,,,,15935125.0,ns,2048
No SELECT in TRAN,,,,,16834666.0,ns,2176
No SELECT in TRAN,,,,,17851500.0,ns,2304
No SELECT in TRAN,,,,,18899166.0,ns,2432
No SELECT in TRAN,,,,,19799416.0,ns,2560
No SELECT in TRAN,,,,,21019541.0,ns,2688
No SELECT in TRAN,,,,,21765041.0,ns,2816
No SELECT in TRAN,,,,,22710208.0,ns,2944
No SELECT in TRAN,,,,,23740541.0,ns,3072
No SELECT in TRAN,,,,,24718000.0,ns,3200
No SELECT in TRAN,,,,,25726291.0,ns,3328
No SELECT in TRAN,,,,,26741708.0,ns,3456
No SELECT in TRAN,,,,,27679791.0,ns,3584
No SELECT in TRAN,,,,,28675083.0,ns,3712
No SELECT in TRAN,,,,,29675000.0,ns,3840
No SELECT in TRAN,,,,,30502541.0,ns,3968
No SELECT in TRAN,,,,,31502958.0,ns,4096
No SELECT in TRAN,,,,,32469666.0,ns,4224
No SELECT in TRAN,,,,,33438041.0,ns,4352
No SELECT in TRAN,,,,,34391583.0,ns,4480
No SELECT in TRAN,,,,,35498750.0,ns,4608
No SELECT in TRAN,,,,,36565375.0,ns,4736
No SELECT in TRAN,,,,,37450500.0,ns,4864
No SELECT in TRAN,,,,,38453416.0,ns,4992
No SELECT in TRAN,,,,,41512750.0,ns,5120
No SELECT in TRAN,,,,,42563458.0,ns,5248
No SELECT in TRAN,,,,,41267625.0,ns,5376
No SELECT in TRAN,,,,,42226666.0,ns,5504
No SELECT in TRAN,,,,,43303125.0,ns,5632
No SELECT in TRAN,,,,,44383083.0,ns,5760
No SELECT in TRAN,,,,,45378250.0,ns,5888
No SELECT in TRAN,,,,,46493958.0,ns,6016
No SELECT in TRAN,,,,,47362791.0,ns,6144
No SELECT in TRAN,,,,,48268750.0,ns,6272
No SELECT in TRAN,,,,,49639958.0,ns,6400
No SELECT in TRAN,,,,,50406916.0,ns,6528
No SELECT in TRAN,,,,,51339500.0,ns,6656
No SELECT in TRAN,,,,,52280500.0,ns,6784
No SELECT in TRAN,,,,,53130916.0,ns,6912
No SELECT in TRAN,,,,,54010333.0,ns,7040
No SELECT in TRAN,,,,,55051750.0,ns,7168
No SELECT in TRAN,,,,,56167541.0,ns,7296
No SELECT in TRAN,,,,,57041958.0,ns,7424
No SELECT in TRAN,,,,,58244666.0,ns,7552
No SELECT in TRAN,,,,,59104208.0,ns,7680
No SELECT in TRAN,,,,,59951458.0,ns,7808
No SELECT in TRAN,,,,,61139750.0,ns,7936
No SELECT in TRAN,,,,,62135875.0,ns,8064
No SELECT in TRAN,,,,,63100791.0,ns,8192
No SELECT in TRAN,,,,,64042000.0,ns,8320
No SELECT in TRAN,,,,,65071833.0,ns,8448
No SELECT in TRAN,,,,,66395541.0,ns,8576
No SELECT in TRAN,,,,,67097208.0,ns,8704
No SELECT in TRAN,,,,,67961000.0,ns,8832
No SELECT in TRAN,,,,,69101625.0,ns,8960
No SELECT in TRAN,,,,,70210708.0,ns,9088
No SELECT in TRAN,,,,,71123458.0,ns,9216
No SELECT in TRAN,,,,,72106208.0,ns,9344
No SELECT in TRAN,,,,,73359916.0,ns,9472
No SELECT in TRAN,,,,,74477666.0,ns,9600
No SELECT in TRAN,,,,,75372250.0,ns,9728
No SELECT in TRAN,,,,,76097625.0,ns,9856
No SELECT in TRAN,,,,,77336541.0,ns,9984
No SELECT in TRAN,,,,,78350291.0,ns,10112
No SELECT in TRAN,,,,,79346333.0,ns,10240
No SELECT in TRAN,,,,,80561625.0,ns,10368
No SELECT in TRAN,,,,,81478291.0,ns,10496
No SELECT in TRAN,,,,,82706000.0,ns,10624
No SELECT in TRAN,,,,,83183916.0,ns,10752
No SELECT in TRAN,,,,,84204291.0,ns,10880
No SELECT in TRAN,,,,,85052208.0,ns,11008
No SELECT in TRAN,,,,,86100500.0,ns,11136
No SELECT in TRAN,,,,,87139875.0,ns,11264
No SELECT in TRAN,,,,,88003958.0,ns,11392
No SELECT in TRAN,,,,,89089916.0,ns,11520
No SELECT in TRAN,,,,,90178125.0,ns,11648
No SELECT in TRAN,,,,,91331541.0,ns,11776
No SELECT in TRAN,,,,,92344333.0,ns,11904
No SELECT in TRAN,,,,,93188625.0,ns,12032
No SELECT in TRAN,,,,,93971333.0,ns,12160
No SELECT in TRAN,,,,,95171583.0,ns,12288
No SELECT in TRAN,,,,,96115083.0,ns,12416
No SELECT in TRAN,,,,,97347500.0,ns,12544
No SELECT in TRAN,,,,,98270666.0,ns,12672
No SELECT in TRAN,,,,,99168458.0,ns,12800
