group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
No SELECT in TRAN,,,,,995708.0,ns,124
No SELECT in TRAN,,,,,1971458.0,ns,248
No SELECT in TRAN,,,,,2963625.0,ns,372
No SELECT in TRAN,,,,,3940416.0,ns,496
No SELECT in TRAN,,,,,4935708.0,ns,620
No SELECT in TRAN,,,,,5916083.0,ns,744
No SELECT in TRAN,,,,,6899583.0,ns,868
No SELECT in TRAN,,,,,7932875.0,ns,992
No SELECT in TRAN,,,,,9080208.0,ns,1116
No SELECT in TRAN,,,,,10018833.0,ns,1240
No SELECT in TRAN,,,,,10998041.0,ns,1364
No SELECT in TRAN,,,,,11926875.0,ns,1488
No SELECT in TRAN,,,,,12873583.0,ns,1612
No SELECT in TRAN,,,,,13921500.0,ns,1736
No SELECT in TRAN,,,,,14930166.0,ns,1860
No SELECT in TRAN,,,,,15886875.0,ns,1984
No SELECT in TRAN,,,,,16878833.0,ns,2108
No SELECT in TRAN,,,,,17815583.0,ns,2232
No SELECT in TRAN,,,,,18819333.0,ns,2356
No SELECT in TRAN,,,,,19853041.0,ns,2480
No SELECT in TRAN,,,,,20759958.0,ns,2604
No SELECT in TRAN,,,,,21698958.0,ns,2728
No SELECT in TRAN,,,,,22781666.0,ns,2852
No SELECT in TRAN,,,,,23789750.0,ns,2976
No SELECT in TRAN,,,,,24814500.0,ns,3100
No SELECT in TRAN,,,,,25822125.0,ns,3224
No SELECT in TRAN,,,,,26827208.0,ns,3348
No SELECT in TRAN,,,,,27768875.0,ns,3472
No SELECT in TRAN,,,,,28651541.0,ns,3596
No SELECT in TRAN,,,,,29619750.0,ns,3720
No SELECT in TRAN,,,,,30623833.0,ns,3844
No SELECT in TRAN,,,,,31890416.0,ns,3968
No SELECT in TRAN,,,,,32756916.0,ns,4092
No SELECT in TRAN,,,,,33728916.0,ns,4216
No SELECT in TRAN,,,,,34743750.0,ns,4340
No SELECT in TRAN,,,,,35787500.0,ns,4464
No SELECT in TRAN,,,,,36650208.0,ns,4588
No SELECT in TRAN,,,,,37466875.0,ns,4712
No SELECT in TRAN,,,,,38405458.0,ns,4836
No SELECT in TRAN,,,,,39507041.0,ns,4960
No SELECT in TRAN,,,,,40635083.0,ns,5084
No SELECT in TRAN,,,,,41445958.0,ns,5208
No SELECT in TRAN,,,,,43216375.0,ns,5332
No SELECT in TRAN,,,,,43665375.0,ns,5456
No SELECT in TRAN,,,,,44614375.0,ns,5580
No SELECT in TRAN,,,,,45517041.0,ns,5704
No SELECT in TRAN,,,,,46432583.0,ns,5828
No SELECT in TRAN,,,,,47258125.0,ns,5952
No SELECT in TRAN,,,,,48284000.0,ns,6076
No SELECT in TRAN,,,,,49203458.0,ns,6200
No SELECT in TRAN,,,,,50275583.0,ns,6324
No SELECT in TRAN,,,,,51384583.0,ns,6448
No SELECT in TRAN,,,,,52231291.0,ns,6572
No SELECT in TRAN,,,,,53264875.0,ns,6696
No SELECT in TRAN,,,,,54442541.0,ns,6820
No SELECT in TRAN,,,,,55447416.0,ns,6944
No SELECT in TRAN,,,,,56374708.0,ns,7068
No SELECT in TRAN,,,,,57327458.0,ns,7192
No SELECT in TRAN,,,,,58385916.0,ns,7316
No SELECT in TRAN,,,,,59171666.0,ns,7440
No SELECT in TRAN,,,,,60190250.0,ns,7564
No SELECT in TRAN,,,,,61464708.0,ns,7688
No SELECT in TRAN,,,,,62226083.0,ns,7812
No SELECT in TRAN,,,,,63067458.0,ns,7936
No SELECT in TRAN,,,,,64005208.0,ns,8060
No SELECT in TRAN,,,,,65031833.0,ns,8184
No SELECT in TRAN,,,,,65999750.0,ns,8308
No SELECT in TRAN,,,,,66893083.0,ns,8432
No SELECT in TRAN,,,,,67852833.0,ns,8556
No SELECT in TRAN,,,,,69057125.0,ns,8680
No SELECT in TRAN,,,,,70239708.0,ns,8804
No SELECT in TRAN,,,,,71125458.0,ns,8928
No SELECT in TRAN,,,,,72034166.0,ns,9052
No SELECT in TRAN,,,,,73051708.0,ns,9176
No SELECT in TRAN,,,,,74165458.0,ns,9300
No SELECT in TRAN,,,,,75225750.0,ns,9424
No SELECT in TRAN,,,,,77928333.0,ns,9548
No SELECT in TRAN,,,,,77231875.0,ns,9672
No SELECT in TRAN,,,,,77962916.0,ns,9796
No SELECT in TRAN,,,,,79095500.0,ns,9920
No SELECT in TRAN,,,,,80028500.0,ns,10044
No SELECT in TRAN,,,,,83611916.0,ns,10168
No SELECT in TRAN,,,,,83158083.0,ns,10292
No SELECT in TRAN,,,,,83050916.0,ns,10416
No SELECT in TRAN,,,,,83697583.0,ns,10540
No SELECT in TRAN,,,,,84715208.0,ns,10664
No SELECT in TRAN,,,,,85693708.0,ns,10788
No SELECT in TRAN,,,,,86934541.0,ns,10912
No SELECT in TRAN,,,,,88537916.0,ns,11036
No SELECT in TRAN,,,,,89432208.0,ns,11160
No SELECT in TRAN,,,,,89818125.0,ns,11284
No SELECT in TRAN,,,,,90618208.0,ns,11408
No SELECT in TRAN,,,,,91910208.0,ns,11532
No SELECT in TRAN,,,,,92935958.0,ns,11656
No SELECT in TRAN,,,,,93842750.0,ns,11780
No SELECT in TRAN,,,,,95157125.0,ns,11904
No SELECT in TRAN,,,,,96060208.0,ns,12028
No SELECT in TRAN,,,,,96695500.0,ns,12152
No SELECT in TRAN,,,,,97747583.0,ns,12276
No SELECT in TRAN,,,,,99394833.0,ns,12400
