group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ParseSmallFile,,,,,1078875.0,ns,144
ParseSmallFile,,,,,2193666.0,ns,288
ParseSmallFile,,,,,8887375.0,ns,432
ParseSmallFile,,,,,7272791.0,ns,576
ParseSmallFile,,,,,6838291.0,ns,720
ParseSmallFile,,,,,9951541.0,ns,864
ParseSmallFile,,,,,8920250.0,ns,1008
ParseSmallFile,,,,,11026083.0,ns,1152
ParseSmallFile,,,,,8606750.0,ns,1296
ParseSmallFile,,,,,9484250.0,ns,1440
ParseSmallFile,,,,,10406750.0,ns,1584
ParseSmallFile,,,,,11391875.0,ns,1728
ParseSmallFile,,,,,12223958.0,ns,1872
ParseSmallFile,,,,,13233958.0,ns,2016
ParseSmallFile,,,,,14137250.0,ns,2160
ParseSmallFile,,,,,15172375.0,ns,2304
ParseSmallFile,,,,,16116916.0,ns,2448
ParseSmallFile,,,,,16974458.0,ns,2592
ParseSmallFile,,,,,17890500.0,ns,2736
ParseSmallFile,,,,,18837375.0,ns,2880
ParseSmallFile,,,,,19799458.0,ns,3024
ParseSmallFile,,,,,20785083.0,ns,3168
ParseSmallFile,,,,,21989208.0,ns,3312
ParseSmallFile,,,,,22657583.0,ns,3456
ParseSmallFile,,,,,23528791.0,ns,3600
ParseSmallFile,,,,,24510333.0,ns,3744
ParseSmallFile,,,,,25361041.0,ns,3888
ParseSmallFile,,,,,26281416.0,ns,4032
ParseSmallFile,,,,,27274916.0,ns,4176
ParseSmallFile,,,,,28247833.0,ns,4320
ParseSmallFile,,,,,29134208.0,ns,4464
ParseSmallFile,,,,,30098750.0,ns,4608
ParseSmallFile,,,,,31134541.0,ns,4752
ParseSmallFile,,,,,32290208.0,ns,4896
ParseSmallFile,,,,,33282750.0,ns,5040
ParseSmallFile,,,,,35556916.0,ns,5184
ParseSmallFile,,,,,36131416.0,ns,5328
ParseSmallFile,,,,,38474583.0,ns,5472
ParseSmallFile,,,,,37109458.0,ns,5616
ParseSmallFile,,,,,37940958.0,ns,5760
ParseSmallFile,,,,,38989375.0,ns,5904
ParseSmallFile,,,,,39912833.0,ns,6048
ParseSmallFile,,,,,40631750.0,ns,6192
ParseSmallFile,,,,,41581750.0,ns,6336
ParseSmallFile,,,,,42661416.0,ns,6480
ParseSmallFile,,,,,43486791.0,ns,6624
ParseSmallFile,,,,,44315041.0,ns,6768
ParseSmallFile,,,,,45184833.0,ns,6912
ParseSmallFile,,,,,46364666.0,ns,7056
ParseSmallFile,,,,,47236541.0,ns,7200
ParseSmallFile,,,,,48409500.0,ns,7344
ParseSmallFile,,,,,49093166.0,ns,7488
ParseSmallFile,,,,,50245000.0,ns,7632
ParseSmallFile,,,,,51460208.0,ns,7776
ParseSmallFile,,,,,52225166.0,ns,7920
ParseSmallFile,,,,,53190458.0,ns,8064
ParseSmallFile,,,,,54018875.0,ns,8208
ParseSmallFile,,,,,57730625.0,ns,8352
ParseSmallFile,,,,,56331416.0,ns,8496
ParseSmallFile,,,,,56675583.0,ns,8640
ParseSmallFile,,,,,57025875.0,ns,8784
ParseSmallFile,,,,,58299750.0,ns,8928
ParseSmallFile,,,,,59041500.0,ns,9072
ParseSmallFile,,,,,59945125.0,ns,9216
ParseSmallFile,,,,,60830916.0,ns,9360
ParseSmallFile,,,,,61877833.0,ns,9504
ParseSmallFile,,,,,62906250.0,ns,9648
ParseSmallFile,,,,,63602166.0,ns,9792
ParseSmallFile,,,,,64993666.0,ns,9936
ParseSmallFile,,,,,65805166.0,ns,10080
ParseSmallFile,,,,,66664041.0,ns,10224
ParseSmallFile,,,,,67878458.0,ns,10368
ParseSmallFile,,,,,68868083.0,ns,10512
ParseSmallFile,,,,,70076291.0,ns,10656
ParseSmallFile,,,,,70885291.0,ns,10800
ParseSmallFile,,,,,71714875.0,ns,10944
ParseSmallFile,,,,,72537916.0,ns,11088
ParseSmallFile,,,,,73393958.0,ns,11232
ParseSmallFile,,,,,79911333.0,ns,11376
ParseSmallFile,,,,,76070833.0,ns,11520
ParseSmallFile,,,,,76742958.0,ns,11664
ParseSmallFile,,,,,77488375.0,ns,11808
ParseSmallFile,,,,,78757541.0,ns,11952
ParseSmallFile,,,,,79697791.0,ns,12096
ParseSmallFile,,,,,80519708.0,ns,12240
ParseSmallFile,,,,,81580250.0,ns,12384
ParseSmallFile,,,,,82895875.0,ns,12528
ParseSmallFile,,,,,84057833.0,ns,12672
ParseSmallFile,,,,,84024708.0,ns,12816
ParseSmallFile,,,,,85050208.0,ns,12960
ParseSmallFile,,,,,86070000.0,ns,13104
ParseSmallFile,,,,,86697625.0,ns,13248
ParseSmallFile,,,,,87721208.0,ns,13392
ParseSmallFile,,,,,88496625.0,ns,13536
ParseSmallFile,,,,,89572916.0,ns,13680
ParseSmallFile,,,,,91270458.0,ns,13824
ParseSmallFile,,,,,106140333.0,ns,13968
ParseSmallFile,,,,,109719000.0,ns,14112
ParseSmallFile,,,,,93687583.0,ns,14256
ParseSmallFile,,,,,94655375.0,ns,14400
