group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Unclosed TRAN,,,,,1017658.0,ns,34
Unclosed TRAN,,,,,3024282.0,ns,68
Unclosed TRAN,,,,,3301663.0,ns,102
Unclosed TRAN,,,,,4381537.0,ns,136
Unclosed TRAN,,,,,7260895.0,ns,170
Unclosed TRAN,,,,,7550668.0,ns,204
Unclosed TRAN,,,,,6079633.0,ns,238
Unclosed TRAN,,,,,8895840.0,ns,272
Unclosed TRAN,,,,,8504648.0,ns,306
Unclosed TRAN,,,,,8673479.0,ns,340
Unclosed TRAN,,,,,9667114.0,ns,374
Unclosed TRAN,,,,,11577374.0,ns,408
Unclosed TRAN,,,,,12792308.0,ns,442
Unclosed TRAN,,,,,12657171.0,ns,476
Unclosed TRAN,,,,,13837323.0,ns,510
Unclosed TRAN,,,,,13385667.0,ns,544
Unclosed TRAN,,,,,21100893.0,ns,578
Unclosed TRAN,,,,,16493178.0,ns,612
Unclosed TRAN,,,,,19776637.0,ns,646
Unclosed TRAN,,,,,20970319.0,ns,680
Unclosed TRAN,,,,,23822314.0,ns,714
Unclosed TRAN,,,,,42013461.0,ns,748
Unclosed TRAN,,,,,31965404.0,ns,782
Unclosed TRAN,,,,,30160291.0,ns,816
Unclosed TRAN,,,,,23136025.0,ns,850
Unclosed TRAN,,,,,27032531.0,ns,884
Unclosed TRAN,,,,,40359990.0,ns,918
Unclosed TRAN,,,,,42065045.0,ns,952
Unclosed TRAN,,,,,43587862.0,ns,986
Unclosed TRAN,,,,,39492220.0,ns,1020
Unclosed TRAN,,,,,43024899.0,ns,1054
Unclosed TRAN,,,,,63130103.0,ns,1088
Unclosed TRAN,,,,,55772458.0,ns,1122
Unclosed TRAN,,,,,57145662.0,ns,1156
Unclosed TRAN,,,,,74432700.0,ns,1190
Unclosed TRAN,,,,,78924913.0,ns,1224
Unclosed TRAN,,,,,57957576.0,ns,1258
Unclosed TRAN,,,,,54707494.0,ns,1292
Unclosed TRAN,,,,,78092030.0,ns,1326
Unclosed TRAN,,,,,63838368.0,ns,1360
Unclosed TRAN,,,,,68787320.0,ns,1394
Unclosed TRAN,,,,,60585505.0,ns,1428
Unclosed TRAN,,,,,74250999.0,ns,1462
Unclosed TRAN,,,,,78194878.0,ns,1496
Unclosed TRAN,,,,,68032462.0,ns,1530
Unclosed TRAN,,,,,55833520.0,ns,1564
Unclosed TRAN,,,,,60656276.0,ns,1598
Unclosed TRAN,,,,,81173483.0,ns,1632
Unclosed TRAN,,,,,76159114.0,ns,1666
Unclosed TRAN,,,,,81264875.0,ns,1700
Unclosed TRAN,,,,,50873001.0,ns,1734
Unclosed TRAN,,,,,47237731.0,ns,1768
Unclosed TRAN,,,,,49960804.0,ns,1802
Unclosed TRAN,,,,,48391551.0,ns,1836
Unclosed TRAN,,,,,49971271.0,ns,1870
Unclosed TRAN,,,,,77567260.0,ns,1904
Unclosed TRAN,,,,,51546077.0,ns,1938
Unclosed TRAN,,,,,47001761.0,ns,1972
Unclosed TRAN,,,,,52180225.0,ns,2006
Unclosed TRAN,,,,,54970709.0,ns,2040
Unclosed TRAN,,,,,54661764.0,ns,2074
Unclosed TRAN,,,,,57213511.0,ns,2108
Unclosed TRAN,,,,,58682969.0,ns,2142
Unclosed TRAN,,,,,58747745.0,ns,2176
Unclosed TRAN,,,,,59368932.0,ns,2210
Unclosed TRAN,,,,,59831431.0,ns,2244
Unclosed TRAN,,,,,60094831.0,ns,2278
Unclosed TRAN,,,,,64072976.0,ns,2312
Unclosed TRAN,,,,,63083260.0,ns,2346
Unclosed TRAN,,,,,63090574.0,ns,2380
Unclosed TRAN,,,,,66034940.0,ns,2414
Unclosed TRAN,,,,,68334759.0,ns,2448
Unclosed TRAN,,,,,64919980.0,ns,2482
Unclosed TRAN,,,,,62184987.0,ns,2516
Unclosed TRAN,,,,,63900980.0,ns,2550
Unclosed TRAN,,,,,69147050.0,ns,2584
Unclosed TRAN,,,,,71733799.0,ns,2618
Unclosed TRAN,,,,,71210349.0,ns,2652
Unclosed TRAN,,,,,70881914.0,ns,2686
Unclosed TRAN,,,,,70681982.0,ns,2720
Unclosed TRAN,,,,,73477532.0,ns,2754
Unclosed TRAN,,,,,87534563.0,ns,2788
Unclosed TRAN,,,,,109389202.0,ns,2822
Unclosed TRAN,,,,,91741551.0,ns,2856
Unclosed TRAN,,,,,83280035.0,ns,2890
Unclosed TRAN,,,,,84127457.0,ns,2924
Unclosed TRAN,,,,,107750376.0,ns,2958
Unclosed TRAN,,,,,113858275.0,ns,2992
Unclosed TRAN,,,,,104863877.0,ns,3026
Unclosed TRAN,,,,,101283214.0,ns,3060
Unclosed TRAN,,,,,80849456.0,ns,3094
Unclosed TRAN,,,,,77619005.0,ns,3128
Unclosed TRAN,,,,,117332279.0,ns,3162
Unclosed TRAN,,,,,85037153.0,ns,3196
Unclosed TRAN,,,,,88504927.0,ns,3230
Unclosed TRAN,,,,,88464635.0,ns,3264
Unclosed TRAN,,,,,83722525.0,ns,3298
Unclosed TRAN,,,,,81483202.0,ns,3332
Unclosed TRAN,,,,,105717502.0,ns,3366
Unclosed TRAN,,,,,95002487.0,ns,3400
