group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Unclosed TRAN,,,,,1062666.0,ns,173
Unclosed TRAN,,,,,2713083.0,ns,346
Unclosed TRAN,,,,,3019375.0,ns,519
Unclosed TRAN,,,,,3978500.0,ns,692
Unclosed TRAN,,,,,5168291.0,ns,865
Unclosed TRAN,,,,,6370958.0,ns,1038
Unclosed TRAN,,,,,7200250.0,ns,1211
Unclosed TRAN,,,,,8314458.0,ns,1384
Unclosed TRAN,,,,,10636333.0,ns,1557
Unclosed TRAN,,,,,10090500.0,ns,1730
Unclosed TRAN,,,,,10787708.0,ns,1903
Unclosed TRAN,,,,,11761583.0,ns,2076
Unclosed TRAN,,,,,12760166.0,ns,2249
Unclosed TRAN,,,,,13787500.0,ns,2422
Unclosed TRAN,,,,,14777625.0,ns,2595
Unclosed TRAN,,,,,15755291.0,ns,2768
Unclosed TRAN,,,,,16704333.0,ns,2941
Unclosed TRAN,,,,,17636500.0,ns,3114
Unclosed TRAN,,,,,18615708.0,ns,3287
Unclosed TRAN,,,,,19553166.0,ns,3460
Unclosed TRAN,,,,,20559666.0,ns,3633
Unclosed TRAN,,,,,21354708.0,ns,3806
Unclosed TRAN,,,,,22536791.0,ns,3979
Unclosed TRAN,,,,,23453291.0,ns,4152
Unclosed TRAN,,,,,24435750.0,ns,4325
Unclosed TRAN,,,,,25396250.0,ns,4498
Unclosed TRAN,,,,,26589833.0,ns,4671
Unclosed TRAN,,,,,27365666.0,ns,4844
Unclosed TRAN,,,,,28367916.0,ns,5017
Unclosed TRAN,,,,,29390625.0,ns,5190
Unclosed TRAN,,,,,30316416.0,ns,5363
Unclosed TRAN,,,,,31420000.0,ns,5536
Unclosed TRAN,,,,,32409416.0,ns,5709
Unclosed TRAN,,,,,33040541.0,ns,5882
Unclosed TRAN,,,,,34009250.0,ns,6055
Unclosed TRAN,,,,,35063708.0,ns,6228
Unclosed TRAN,,,,,35806333.0,ns,6401
Unclosed TRAN,,,,,36766083.0,ns,6574
Unclosed TRAN,,,,,37721291.0,ns,6747
Unclosed TRAN,,,,,38689458.0,ns,6920
Unclosed TRAN,,,,,39644958.0,ns,7093
Unclosed TRAN,,,,,40627958.0,ns,7266
Unclosed TRAN,,,,,41750583.0,ns,7439
Unclosed TRAN,,,,,42707500.0,ns,7612
Unclosed TRAN,,,,,43799333.0,ns,7785
Unclosed TRAN,,,,,44989916.0,ns,7958
Unclosed TRAN,,,,,46175708.0,ns,8131
Unclosed TRAN,,,,,47147833.0,ns,8304
Unclosed TRAN,,,,,48174875.0,ns,8477
Unclosed TRAN,,,,,49187625.0,ns,8650
Unclosed TRAN,,,,,50275041.0,ns,8823
Unclosed TRAN,,,,,51117750.0,ns,8996
Unclosed TRAN,,,,,52114583.0,ns,9169
Unclosed TRAN,,,,,52878333.0,ns,9342
Unclosed TRAN,,,,,53925708.0,ns,9515
Unclosed TRAN,,,,,54782875.0,ns,9688
Unclosed TRAN,,,,,55835291.0,ns,9861
Unclosed TRAN,,,,,57092291.0,ns,10034
Unclosed TRAN,,,,,58135875.0,ns,10207
Unclosed TRAN,,,,,58901416.0,ns,10380
Unclosed TRAN,,,,,59826041.0,ns,10553
Unclosed TRAN,,,,,60761916.0,ns,10726
Unclosed TRAN,,,,,61774916.0,ns,10899
Unclosed TRAN,,,,,62965000.0,ns,11072
Unclosed TRAN,,,,,63897750.0,ns,11245
Unclosed TRAN,,,,,64787208.0,ns,11418
Unclosed TRAN,,,,,65669666.0,ns,11591
Unclosed TRAN,,,,,66521125.0,ns,11764
Unclosed TRAN,,,,,67761166.0,ns,11937
Unclosed TRAN,,,,,68642666.0,ns,12110
Unclosed TRAN,,,,,69657958.0,ns,12283
Unclosed TRAN,,,,,70650000.0,ns,12456
Unclosed TRAN,,,,,71722833.0,ns,12629
Unclosed TRAN,,,,,72738833.0,ns,12802
Unclosed TRAN,,,,,73995541.0,ns,12975
Unclosed TRAN,,,,,74403833.0,ns,13148
Unclosed TRAN,,,,,75328916.0,ns,13321
Unclosed TRAN,,,,,76485625.0,ns,13494
Unclosed TRAN,,,,,77583791.0,ns,13667
Unclosed TRAN,,,,,78420916.0,ns,13840
Unclosed TRAN,,,,,79296708.0,ns,14013
Unclosed TRAN,,,,,80403375.0,ns,14186
Unclosed TRAN,,,,,81948500.0,ns,14359
Unclosed TRAN,,,,,82822541.0,ns,14532
Unclosed TRAN,,,,,83584875.0,ns,14705
Unclosed TRAN,,,,,84536541.0,ns,14878
Unclosed TRAN,,,,,85511541.0,ns,15051
Unclosed TRAN,,,,,86403541.0,ns,15224
Unclosed TRAN,,,,,87448375.0,ns,15397
Unclosed TRAN,,,,,88407666.0,ns,15570
Unclosed TRAN,,,,,89400625.0,ns,15743
Unclosed TRAN,,,,,90483791.0,ns,15916
Unclosed TRAN,,,,,91225750.0,ns,16089
Unclosed TRAN,,,,,92405125.0,ns,16262
Unclosed TRAN,,,,,93392291.0,ns,16435
Unclosed TRAN,,,,,94089708.0,ns,16608
Unclosed TRAN,,,,,95139166.0,ns,16781
Unclosed TRAN,,,,,96173708.0,ns,16954
Unclosed TRAN,,,,,97203791.0,ns,17127
Unclosed TRAN,,,,,98447875.0,ns,17300
